id,doi,title,author,year,keywords,venue,abstract,model_answer,model_explanation,version
1524,10.1109/ICNWC60771.2024.10537380,Intelligent Fortification of Agricultural Data Integrity,Vardhan R.; Kumar R.; Supraja P.,2024,Agriculture; Artificial Intelligence; Cybersecurity; Data Integrity; Honeycomb Framework; Internet of Things; Intrusion Detection and Prevention; Machine Learning,"Proceedings of the 2nd IEEE International Conference on Networking and Communications 2024, ICNWC 2024","The proliferation of the Internet of Things (loT) devices in agriculture has transformed data collecting, allowing for real-time monitoring and analysis, which is crucial for optimizing agricultural methods. However, the vulnerability of this dynamic agricultural data to cyber threats Jeopardizes the information's integrity and trustworthiness. This research study proposes a comprehensive framework for securing dynamic agricultural data generated from internet-connected loT devices. The proposed framework combines three main components: Honeycomb architecture, Intrusion Detection and Prevention Systems (IDPS), and sophisticated Al and ML principles. The Honeycomb architecture provides a strong foundation by combining distributed storage and decentralized control to reduce single points of failure and improve data resilience. The importance of this research stems from the essential role that agricultural data plays in developing future agricultural strategies and policies. A single falsified data point might lead to incorrect conclusions, affecting the agriculture sector's overall growth and sustainability. By applying the proposed cybersecurity framework, agriculture stakeholders may secure the integrity and confidentiality of their data, boosting trust in the trustworthiness of analyses and increasing the sector's resistance to cyber threats. This study contributes to the developing subject of cybersecurity, specifically addressing the unique issues given by dynamic agricultural data from loT sources. The study's findings are likely to assist stakeholders in the agriculture sector, such as farmers, researchers, and policymakers, by assuring the sustainability and resilience of agricultural data ecosystems in the face of emerging cyber threats.  © 2024 IEEE.",No,,prompt-CoT
7990,10.1109/TIFS.2017.2658544,Security Assurance for System-on-Chip Designs with Untrusted IPs,Basak A.; Bhunia S.; Tkacik T.; Ray S.,2017,design-for-debug; Hardware Trojan; resilient architecture; security policy; security wrapper; SoC security; Trusted SoC; untrusted IPs,IEEE Transactions on Information Forensics and Security,"Modern system-on-chip (SoC) designs involve integration of a large number of intellectual property (IP) blocks, many of which are acquired from untrusted third-party vendors. An IP containing a security vulnerability - whether inadvertent or malicious - may compromise the trustworthiness of the entire SoC, e.g., by leaking sensitive information or causing execution failures at key points. Existing functional validation approaches, post-manufacturing tests, and IP trust verification techniques are inadequate to accomplish comprehensive system-level security assurance in the presence of untrusted IPs. In this paper, we analyze security issues at the SoC level caused by untrusted IPs. We also propose a novel, resilient SoC security architecture to ensure trusted SoC operation with untrusted IPs. Our architecture realizes fine-grained IP-trust aware security policies in an efficient security policy checker that enables run-time monitoring of security issues arising from untrusted IPs. It also exploits on-chip design-for-debug architecture to ensure trusted information flow from IP blocks to the security policy checker. Unlike existing solutions to the untrusted IP problem, which rely on verification of IP trust before they are integrated into an SoC, the proposed approach follows a fundamentally different architecture-level solution based on run-time resilience. We demonstrate the effectiveness of this framework for system protection using several illustrative practical use cases. We also provide experimental results to show that the overhead of the proposed architecture is modest on representative SoC designs. © 2005-2012 IEEE.",No,,prompt-CoT
7213,10.1007/978-981-10-7512-4_74,A framework for authentication of digital quran,Hakak S.; Kamsin A.; Veri J.; Ritonga R.; Herawan T.,2018,Authentication; Digital Quran; Hadith authentication; Integrity of Quran; Text authenticity,Advances in Intelligent Systems and Computing,"Increment of Internet users accessing content related to digital Quran and Hadith has increased from past few years. This has increased the need of Quran and Hadith authentication system that can authenticate between fake and original verses. In this work, complete framework related to automatic authentication and distribution of digital Quran and Hadith verses is proposed. Authentication process is divided into two phases, i.e., verification and security. For verification part, existing and standard exact matching algorithm, i.e., Boyer-Moore algorithm, is used. In case of security phase, watermarking technique will be used to secure the verified and tested verse. Furthermore, only verification phase of proposed framework is tested as system is still under development phase. For dealing with diacritics involved in Quranic text and Hadith text, segmentation is done based on clitics using UTF-16 encoding. On testing the proposed framework with comparison to popular search engines and other related existing works, our approach is 96.8% accurate in terms of full verse detection. © Springer Nature Singapore Pte Ltd. 2018.",No,,prompt-CoT
10662,10.1117/12.852530,Neural methods based on modified reputation rules for detection and identification of intrusion attacks in wireless ad hoc sensor networks,Hortos W.S.,2010,Cross-layer features; Intrusion detection and identification; Josang's belief model; Kullback-Leibler (KL) distance; Mobile software agents; Recurrent neural networks; Reputation quantification; Unsupervised learning algorithms; Wireless ad hoc sensor networks,Proceedings of SPIE - The International Society for Optical Engineering,"Determining methods to secure the process of data fusion against attacks by compromised nodes in wireless sensor networks (WSNs) and to quantify the uncertainty that may exist in the aggregation results is a critical issue in mitigating the effects of intrusion attacks. Published research has introduced the concept of the trustworthiness (reputation) of a single sensor node. Reputation is evaluated using an information-theoretic concept, the Kullback- Leibler (KL) distance. Reputation is added to the set of security features. In data aggregation, an opinion, a metric of the degree of belief, is generated to represent the uncertainty in the aggregation result. As aggregate information is disseminated along routes to the sink node(s), its corresponding opinion is propagated and regulated by Josang's belief model. By applying subjective logic on the opinion to manage trust propagation, the uncertainty inherent in aggregation results can be quantified for use in decision making. The concepts of reputation and opinion are modified to allow their application to a class of dynamic WSNs. Using reputation as a factor in determining interim aggregate information is equivalent to implementation of a reputation-based security filter at each processing stage of data fusion, thereby improving the intrusion detection and identification results based on unsupervised techniques. In particular, the reputation-based version of the probabilistic neural network (PNN) learns the signature of normal network traffic with the random probability weights normally used in the PNN replaced by the trust-based quantified reputations of sensor data or subsequent aggregation results generated by the sequential implementation of a version of Josang's belief model. A two-stage, intrusion detection and identification algorithm is implemented to overcome the problems of large sensor data loads and resource restrictions in WSNs. Performance of the twostage algorithm is assessed in simulations of WSN scenarios with multiple sensors at edge nodes for known intrusion attacks. Simulation results show improved robustness of the two-stage design based on reputation-based NNs to intrusion anomalies from compromised nodes and external intrusion attacks. © 2010 Copyright SPIE - The International Society for Optical Engineering.",No,,prompt-CoT
10701,10.1109/ICCASM.2010.5619134,Study on c2c business credit evaluation system based on satisfaction,Wang W.; Guan D.; Zhu Q.; Qiang W.,2010,Component; Evaluation index; Evaluation model; Reliability; Satisfaction,"ICCASM 2010 - 2010 International Conference on Computer Application and System Modeling, Proceedings","This article redesigns appraising index and improves its model, since current c2c business credit evaluation index and evaluation model are single standard and easy to calculate. Buyers evaluate sellers on information veracity, production quality, service satisfaction and goods delivery. In order to attract buyers to participate in the evaluation, sellers will set incentive mechanism and evaluation index will be designed into questionnaire and be provided to buyers. Credit evaluation model are improved by combining questionnaire score, transaction amount, rate of positive assessments, seller's credit together into consideration. The new evaluation system will enhance satisfaction of buyers and reliability of seller's credit grade. © 2010 IEEE.",No,,prompt-CoT
2494,10.1016/j.foodres.2023.113085,A geographical origin assessment of Italian hazelnuts: Gas chromatography-ion mobility spectrometry coupled with multivariate statistical analysis and data fusion approach,Sammarco G.; Bardin D.; Quaini F.; Dall'Asta C.; Christmann J.; Weller P.; Suman M.,2023,Data fusion; Food authenticity; Gas chromatography-ion mobility system; Hazelnut (Corylus avellana); Multivariate statistical analysis; Sensory analysis,Food Research International,"Hazelnut is a commodity that has gained interest in the food science community concerning its authenticity. The quality of the Italian hazelnuts is guaranteed by Protected Designation of Origin and Protected Geographical Indication certificates. However, due to their modest availability and the high price, fraudulent producers/suppliers blend, or even substitute, Italian hazelnuts with others from different countries, having a lower price, and often a lower quality. To contrast or prevent these illegal activities, the present work investigated the application of the Gas Chromatography-Ion mobility spectrometry (GC-IMS) technique on the hazelnut chain (fresh, roasted, and paste of hazelnuts). The raw data obtained were handled and elaborated using two different ways, software for statistical analysis, and a programming language. In both cases, Principal Component Analysis and Partial Least Squares-Discriminant Analysis models were exploited, to study how the Volatile Organic Profiles of Italian, Turkish, Georgian, and Azerbaijani products differ. A prediction set was extrapolated from the training set, for a preliminary models’ evaluation, then an external validation set, containing blended samples, was analysed. Both approaches highlighted an interesting class separation and good model parameters (accuracy, precision, sensitivity, specificity, F1-score). Moreover, a data fusion approach with a complementary methodology, sensory analysis, was achieved, to estimate the performance enhancement of the statistical models, considering more discriminant variables and integrating at the same time further information correlated to quality aspects. GC-IMS could be a key player as a rapid, direct, cost-effective strategy to face authenticity issues regarding the hazelnut chain. © 2023 Elsevier Ltd",No,,prompt-CoT
12009,10.1145/352600.352604,Accountable certificate management using undeniable attestations,Buldas A.; Laud P.; Lipmaa H.,2000,Accountable certificate management; Attesters; Authenticated search trees; Long-term authenticity; Non-repudiation; Public-key infrastructure; Search trees; Time-stamping,Proceedings of the ACM Conference on Computer and Communications Security,"This paper initiates a study of accountable certificate management methods, necessary to support long-term authenticity of digital documents. Our main contribution is a model for accountable certificate management, where clients receive attestations confirming inclusion/removal of their certificates from the database of valid certificates. We explain why accountability depends on the inability of the third parties to create contradictory attestations. After that we define an undeniable attester as a primitive that provides efficient attestation creation, publishing and verification, so that it is intractable to create contradictory attestations. We introduce authenticated search trees and build an efficient undeniable attester upon them. The proposed system is the first accountable long-term certificate management system. Moreover, authenticated search trees can be used in many security-critical applications instead of the (sorted) hash trees to reduce trust in the authorities, without decrease in efficiency. Therefore, the undeniable attester promises looks like a very useful cryptographic primitive with a wide range of applications.",No,,prompt-CoT
5191,10.1007/s10009-021-00625-z,What can we monitor over unreliable channels?,Kauffman S.; Havelund K.; Fischmeister S.,2021,Formal methods; Monitorability; Runtime verification; Unreliable communication,International Journal on Software Tools for Technology Transfer,"This article addresses the question of what properties can be monitored over an unreliable communication channel. We model unreliable communications as mutations to finite traces and define what it means for a property to be immune to such a mutation. We also introduce the idea of a trustworthy verdict, which is a verdict guaranteed to be correct in the presence of a trace mutation. We show that the trustworthiness of a verdict or immunity of a property for a single mutation is equivalent to the trustworthiness or immunity for any number of mutations. We classify trustworthy verdicts on ω-regular properties by updating a recently proposed monitorability-focused refinement of the safety-liveness taxonomy. The article also includes a fixed-parameter tractable algorithm to test an ω-regular property for immunity to a trace mutation. Our results show that many of the most common properties can be monitored over unreliable channels. © 2021, The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature.",No,,prompt-CoT
3478,10.1016/j.foodcont.2022.108837,"Isotopic signatures and patterns of volatile compounds for discrimination of genuine lemon, genuine lime and adulterated lime juices",Jahani R.; van Ruth S.; Yazdanpanah H.; Faizi M.; Shojaee AliAbadi M.H.; Mahboubi A.; Kobarfard F.,2022,Adulteration; IRMS; Lemon; Lime; PTR-ToF-MS; Volatile organic compound,Food Control,"Isotopic signatures and patterns of volatile organic compounds (VOCs) are a useful set of markers for the authenticity assessment of fruit juices. In the present study, the carbon and nitrogen stable isotopes and VOCs fingerprinting of 16 genuine lemon and 16 genuine lime juices as well as 28 citric acid-adulterated lime juices were investigated to discriminate them and reveal the underlying mechanism for their differences. Samples were subjected to isotope ratio mass spectrometry (IRMS) and proton transfer reaction time of flight mass spectrometry (PTR-ToF-MS). Following δ13C and δ15N analysis, no significant difference between genuine lemon (δ13C: -24.50 ± 1.29; δ15N: 5.40 ± 2.06) and genuine lime juices (δ13C: -25.17 ± 0.7; δ15N: 5.30 ± 0.97) was observed due to the same photosynthetic pathway (C3 photosynthetic pathway) of lemon and lime trees. However, Adulterated lime juice samples had higher δ13C values (-14.99 ± 2.79) and lower δ15N (1.23 ± 2.36) values compared to the genuine lemon and genuine lime juices which could be related to the added exogenous commercially available citric acid manufactured by fermenting sugars that follow the C4 photosynthetic pathway. Besides, a positive correlation (r2 = 0.941) between citric acid to iso-citric acid ratios and δ13C values was found in the adulterated samples. No significant difference was observed in the total concentration of VOCs among the analyzed samples. However, for all samples, ions m/z 81 and 137 had the highest concentrations. Exploratory VOC pattern analysis by principal component analysis (PCA) and hierarchical cluster analysis (HCA) revealed the clustering of samples in different groups according to their nature. Besides, extremely adulterated samples were well distinguished from slightly adulterated samples following HCA analysis. The current study provided empirical evidence on the capability of IRMS and PTR-ToF-MS in the discrimination of lemon juice, lime juice, and adulterated lime juices. However, further investigation is required to confirm the promising results of this study. © 2022",No,,prompt-CoT
8085,,How can subjective impulsivity play a role among information sources in weather scenarios?,Falcone R.; Sapienza A.,2017,Cognitive agents; Social simulation; Trust,CEUR Workshop Proceedings,"The topic of critical hydrogeological phenomena, due to flooding, has a particular relevance given the risk that it implies. In this paper we simulated complex weather scenarios in which forecasts coming from different sources become relevant. Our basic idea is that agents can build their own evaluations on the future weather events integrating these different information sources also considering how trustworthy each single source is with respect to each individual agent. These agents learn the sources' trustworthiness in a training phase. Moreover, agents are differentiated on the basis of their own ability to make direct weather forecasts, on their possibility to receive bad or good forecasts from the authority, and on the possibility of being influenced by the neighbors' behaviors. Quite often in the real scenarios some irrational behaviors rise up, whereby individuals tend to impulsively follow the crowd, regardless of its reliability. To model that, we introduced an impulsivity factor that measures how agents are influenced by the neighbors' behavior, a sort of ""crowd effect"". The results of these simulations show that, thanks to a proper trust evaluation of their sources made in the training phase, the different kinds of agents are able to better identify the future events.",No,,prompt-CoT
