author_1,author_2,shared_paper_count
Spina D.,Ceolin D.,3
Struß J.M.,Mandl T.,3
Struß J.M.,Shahi G.K.,3
Su L.,Zhao Y.,3
Suwaileh R.,Da San Martino G.,3
Suwaileh R.,Hasanain M.,3
Yao S.,Shao H.,3
Yao S.,Zhao Y.,3
Zaghouani W.,Alam F.,3
Zaghouani W.,Kartal Y.S.,3
Zaghouani W.,Kutlu M.,3
Zaghouani W.,Li C.,3
Zaghouani W.,Mubarak H.,3
Zaghouani W.,Nikolov A.,3
Babulkov N.,Barrón-Cedeño A.,2
Babulkov N.,da San Martino G.,2
Babulkov N.,Kartal Y.S.,2
Babulkov N.,Kutlu M.,2
Babulkov N.,Li C.,2
Babulkov N.,Nikolov A.,2
Babulkov N.,Zaghouani W.,2
Beltrán J.,Alam F.,2
Beltrán J.,Barrón-Cedeño A.,2
Beltrán J.,Kartal Y.S.,2
Beltrán J.,Kutlu M.,2
Beltrán J.,Míguez R.,2
Beltrán J.,Nakov P.,2
Beltrán J.,Nikolov A.,2
Beltrán J.,Shaar S.,2
Caselli T.,Babulkov N.,2
Caselli T.,Mandl T.,2
Da San Martino G.,Babulkov N.,2
da San Martino G.,Barrón-Cedeño A.,2
Da San Martino G.,Caselli T.,2
da San Martino G.,Haouari F.,2
Da San Martino G.,Kartal Y.S.,2
da San Martino G.,Kartal Y.S.,2
Da San Martino G.,Kutlu M.,2
da San Martino G.,Kutlu M.,2
Da San Martino G.,Li C.,2
Da San Martino G.,Nikolov A.,2
da San Martino G.,Nikolov A.,2
Elsayed T.,Alam F.,2
Elsayed T.,da San Martino G.,2
Elsayed T.,Kutlu M.,2
Haouari F.,Alam F.,2
Haouari F.,Barrón-Cedeño A.,2
Hasanain M.,da San Martino G.,2
Köhler J.,Mandl T.,2
Köhler J.,Shahi G.K.,2
Köhler J.,Siegel M.,2
Köhler J.,Struß J.M.,2
Köhler J.,Wiegand M.,2
Mandl T.,Alam F.,2
Mandl T.,Babulkov N.,2
Mandl T.,Barrón-Cedeño A.,2
Mandl T.,Kartal Y.S.,2
Mandl T.,Kutlu M.,2
Mandl T.,Li C.,2
Mandl T.,Mubarak H.,2
Mandl T.,Nikolov A.,2
Mandl T.,Siegel M.,2
Mandl T.,Wiegand M.,2
Mandl T.,Zaghouani W.,2
Míguez R.,Babulkov N.,2
Míguez R.,Da San Martino G.,2
Míguez R.,da San Martino G.,2
Míguez R.,Mandl T.,2
Míguez R.,Shahi G.K.,2
Nakov P.,Mandl T.,2
Nakov P.,Shahi G.K.,2
Shaar S.,Elsayed T.,2
Shaar S.,Haouari F.,2
Shaar S.,Hasanain M.,2
Shaar S.,Mandl T.,2
Shaar S.,Shahi G.K.,2
Shahi G.K.,Alam F.,2
Shahi G.K.,Babulkov N.,2
Shahi G.K.,Barrón-Cedeño A.,2
Shahi G.K.,Caselli T.,2
Shahi G.K.,Kartal Y.S.,2
Shahi G.K.,Kutlu M.,2
Shahi G.K.,Li C.,2
Shahi G.K.,Mubarak H.,2
Shahi G.K.,Nikolov A.,2
Shahi G.K.,Siegel M.,2
Shahi G.K.,Wiegand M.,2
Shahi G.K.,Zaghouani W.,2
Shao H.,Zhao Y.,2
Siegel M.,Wiegand M.,2
Struß J.M.,Alam F.,2
Struß J.M.,Babulkov N.,2
Struß J.M.,Barrón-Cedeño A.,2
Struß J.M.,Caselli T.,2
Struß J.M.,Kartal Y.S.,2
Struß J.M.,Kutlu M.,2
Struß J.M.,Li C.,2
Struß J.M.,Mubarak H.,2
Struß J.M.,Míguez R.,2
Struß J.M.,Nakov P.,2
Struß J.M.,Nikolov A.,2
Struß J.M.,Shaar S.,2
Struß J.M.,Siegel M.,2
Struß J.M.,Wiegand M.,2
Struß J.M.,Zaghouani W.,2
Suwaileh R.,Haouari F.,2
Babulkov N.,Haouari F.,1
Babulkov N.,Hasanain M.,1
Babulkov N.,Siegel M.,1
Babulkov N.,Wiegand M.,1
Beltrán J.,Babulkov N.,1
Beltrán J.,Caselli T.,1
Beltrán J.,Da San Martino G.,1
Beltrán J.,da San Martino G.,1
Beltrán J.,Elsayed T.,1
Beltrán J.,Haouari F.,1
Beltrán J.,Hasanain M.,1
Beltrán J.,Li C.,1
Beltrán J.,Mandl T.,1
Beltrán J.,Mubarak H.,1
Beltrán J.,Shahi G.K.,1
Beltrán J.,Struß J.M.,1
Beltrán J.,Zaghouani W.,1
Caselli T.,da San Martino G.,1
Caselli T.,Siegel M.,1
Caselli T.,Wiegand M.,1
Da San Martino G.,Haouari F.,1
da San Martino G.,Li C.,1
Da San Martino G.,Mandl T.,1
Elsayed T.,Babulkov N.,1
Elsayed T.,Kartal Y.S.,1
Elsayed T.,Nikolov A.,1
Elsayed T.,Zaghouani W.,1
Haouari F.,Kartal Y.S.,1
Haouari F.,Kutlu M.,1
Haouari F.,Nikolov A.,1
Hasanain M.,Kartal Y.S.,1
Hasanain M.,Kutlu M.,1
Hasanain M.,Nikolov A.,1
Köhler J.,Alam F.,1
Köhler J.,Babulkov N.,1
Köhler J.,Barrón-Cedeño A.,1
Köhler J.,Caselli T.,1
Köhler J.,da San Martino G.,1
Köhler J.,Kartal Y.S.,1
Köhler J.,Kutlu M.,1
Köhler J.,Li C.,1
Köhler J.,Mubarak H.,1
Köhler J.,Míguez R.,1
Köhler J.,Nakov P.,1
Köhler J.,Nikolov A.,1
Köhler J.,Shaar S.,1
Köhler J.,Zaghouani W.,1
Liu H.,Wang S.,1
Mandl T.,da San Martino G.,1
Mubarak H.,da San Martino G.,1
Mubarak H.,Wiegand M.,1
Míguez R.,Elsayed T.,1
Míguez R.,Haouari F.,1
Míguez R.,Hasanain M.,1
Míguez R.,Siegel M.,1
Míguez R.,Wiegand M.,1
Nakov P.,Siegel M.,1
Nakov P.,Wiegand M.,1
Shaar S.,Siegel M.,1
Shaar S.,Wiegand M.,1
Shahi G.K.,Da San Martino G.,1
Shahi G.K.,da San Martino G.,1
Siegel M.,Alam F.,1
Siegel M.,Barrón-Cedeño A.,1
Siegel M.,da San Martino G.,1
Siegel M.,Kartal Y.S.,1
Siegel M.,Kutlu M.,1
Siegel M.,Li C.,1
Siegel M.,Mubarak H.,1
Siegel M.,Nikolov A.,1
Struß J.M.,Da San Martino G.,1
Struß J.M.,da San Martino G.,1
Suwaileh R.,Zaghouani W.,1
Wang H.,Chen H.,1
Wang H.,Zhang X.,1
Wang H.,Zhang Y.,1
Wang S.,Li C.,1
Wang S.,Wang H.,1
Wang S.,Zhang X.,1
Wang X.,Wu H.,1
Wiegand M.,Alam F.,1
Wiegand M.,Barrón-Cedeño A.,1
Wiegand M.,da San Martino G.,1
Wiegand M.,Kartal Y.S.,1
Wiegand M.,Kutlu M.,1
Wiegand M.,Li C.,1
Wiegand M.,Nikolov A.,1
Zaghouani W.,da San Martino G.,1
Zaghouani W.,Siegel M.,1
Zaghouani W.,Wiegand M.,1
Zhang Y.,Chen H.,1
