
id,source,query,doi,url,title,author,year,keywords,series,venue,location,citations_number,paper_type,abstract,model_answer,model_explanation,version
6005,Scopus,/Information Trustworthiness Measurement,10.1016/j.inffus.2020.05.004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085545988&doi=10.1016%2fj.inffus.2020.05.004&partnerID=40&md5=8a64ca685c8b572cc2bed76d5549714f,A trust-similarity analysis-based clustering method for large-scale group decision-making under a social network,Du Z.-J.; Luo H.-Y.; Lin X.-D.; Yu S.-M.,2020,Clustering method; Large-scale group decision-making (LSGDM); Opinion similarity; Social network analysis (SNA); Trust relationship; Trust-similarity analysis (TSA),,Information Fusion,,125,Article,"Large-scale group decision-making (LSGDM) under a social network context has attracted much attention in the field of decision science. The clustering of individual opinions and the handling of trust relationships are the main research topics. Opinion similarity and trust relationship are considered to be two important measurement attributes for implementing clustering. Traditional clustering methods often use a single attribute to divide the original group without requiring a combination of the above two attributes. However, these two attributes play different roles in the clustering process, insofar as opinion similarity is used to measure the level of difference among individual opinions, whereas the trust relationship represents the trustworthiness of decision makers. This paper develops a trust-similarity analysis (TSA)-based clustering method to manage the clustering operation in LSGDM events under a social network context. First, the trust-similarity matrix is established to collectively describe the decision information. Second, all measurement attribute values are mapped to a trust-similarity plot from which the joint threshold can be calculated. Finally, a TSA-based clustering method is proposed that considers the attributes of opinion similarity and trust relationship and that allocates their importance to achieve specific clustering objectives. The numerical experiment and comparative analysis reveal the feasibility and advantages of the proposed method. © 2020 Elsevier B.V.",No,,prompt-CoT
11181,Scopus,/Information Veracity Assessment,10.1109/ICBBE.2008.1119,https://www.scopus.com/inward/record.uri?eid=2-s2.0-50949093006&doi=10.1109%2fICBBE.2008.1119&partnerID=40&md5=8021a5a40d9f67336f0e521c18643006,Back propagation neural network in the water quality evaluation of Qingdao Dagu River,Miao Q.; Li Y.; Hai Y.; He H.; Zhang X.,2008,Learning algorithm; Neural network; Training sample; Water quality assessment,,"2nd International Conference on Bioinformatics and Biomedical Engineering, iCBBE 2008",,1,Conference paper,"Compared with other methods, NN (neural network) model in water quality evaluation had better performance in the application to water quality assessment. In this paper, In order to improve the NN model's performance, arithmetic, determination of hidden layer nodes amount and the training samples were optimized. Gradient descending arithmetic added by momentum and self-adaptive learning rate was chosen. The amount of nodes in network's hidden layer was optimized by pilot calculation arithmetic based on empirical equation. Training samples was extended by random differential in critical value space of grades to improve model's robustness and veracity of distinguishing. When it was used to evaluate the water quality of Qingdao Dagu river, the improved ANN (artificial neural network) model displayed a good performance. © 2008 IEEE.",No,,prompt-CoT
1950,ACM,Fake News Authenticity Detection,10.1145/3581783.3613767,https://doi.org/10.1145/3581783.3613767,UMMAFormer: A Universal Multimodal-adaptive Transformer Framework for Temporal Forgery Localization,"Zhang, Rui and Wang, Hongxia and Du, Mingshan and Liu, Hanqing and Zhou, Yang and Zeng, Qiang",2023,"multimodal-adaptive, temporal forgery localization, transformer",MM '23,Proceedings of the 31st ACM International Conference on Multimedia,"Ottawa ON, Canada",0,,"The emergence of artificial intelligence-generated content (AIGC) has raised concerns about the authenticity of multimedia content in various fields. However, existing research for forgery content detection has focused mainly on binary classification tasks of complete videos, which has limited applicability in industrial settings. To address this gap, we propose UMMAFormer, a novel universal transformer framework for temporal forgery localization (TFL) that predicts forgery segments with multimodal adaptation. Our approach introduces a Temporal Feature Abnormal Attention (TFAA) module based on temporal feature reconstruction to enhance the detection of temporal differences. We also design a Parallel Cross-Attention Feature Pyramid Network (PCA-FPN) to optimize the Feature Pyramid Network (FPN) for subtle feature enhancement. To evaluate the proposed method, we contribute a novel Temporal Video Inpainting Localization (TVIL) dataset specifically tailored for video inpainting scenes. Our experiments show that our approach achieves state-of-the-art performance on benchmark datasets, including Lav-DF, TVIL, and Psynd, significantly outperforming previous methods. The code and data are available at https://github.com/ymhzyj/UMMAFormer/.",No,,prompt-CoT
3519,Scopus,/Evidence Authenticity Evaluation,10.1016/j.ijnsa.2021.100054,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120741946&doi=10.1016%2fj.ijnsa.2021.100054&partnerID=40&md5=14c7c79f04d0888b74fbd9545265409c,Development and validation of a risk prediction scale for hypothermia during cesarean section: A prospective study,Shen H.; Deng L.; Kong S.; Wang H.; Zhang J.; Liu W.; Zheng H.,2022,Cesarean section; Intraoperative hypothermia; Parturient; Risk prediction; Temperature management,,International Journal of Nursing Studies Advances,,0,Article,"Background: Evidence shows that active insulation can reduce the incidence of hypothermia during cesarean section; however, compliance is lower than recommended. Moreover, several aspects of temperature management via active heat preservation remain unclear, including patient indications, timing, methods, and duration. Therefore, promptly identifying parturients at a high risk for hypothermia during cesarean section is crucial. Objective: To develop and validate a scale for predicting hypothermia in parturients during cesarean section. Design: Prospective study. Setting: Three grade A hospitals in Hunan Province, China. Participants: The prediction scale was developed based on data from 369 parturients who underwent cesarean section from July 2018 to January 2019. Inclusion criteria were as follows: cesarean section under lumbar anesthesia, epidural anesthesia, or combined lumbar and epidural anesthesia; voluntary participation in the study and completion of the informed consent form; age >18 years. Methods: Univariate and multivariate analyses were used to determine factors influencing hypothermia and establish the predictive model for hypothermia risk during cesarean section. The Hosmer–Lemeshow test was used to determine the goodness of fit of the prediction tool, and the area under the receiver operating characteristic curve was used to determine the predictive ability of the proposed scale. The cutoff value of the prediction scale was determined according to the Youden index. Results: In the logistic regression prediction model, the Hosmer–Lemeshow goodness-of-fit test yielded a p-value of 0.425. The area under the receiver operating characteristic curve was 0.888. The model exhibited a good fitting effect and discriminant validity. Total risk scores for hypothermia ranged from 0 to 11. A score of 7 was used as the diagnostic cutoff value. Parturients during the operation who had total scores of ≥7 and <7 were considered the high-risk and low-risk groups, respectively. The area under the receiver operating characteristic curve for the scale was 0.891. The authenticity evaluation indicated that the incidence of hypothermia was significantly higher in the high-risk group than in the low-risk group. Conclusions: The risk prediction scale developed in this study exhibits moderately predictive efficiency, sensitivity, and specificity for identifying parturients at high risk of hypothermia during cesarean section. Implementing this scale in clinical practice may help to decrease the incidence of hypothermia in such patients. Tweetable: This new predictive model can identify women who are at a high risk of hypothermia during cesarean section. © 2021",No,,prompt-CoT
10605,Scopus,/Information Authenticity Assessment,10.1109/ICTC.2010.5674766,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78751490726&doi=10.1109%2fICTC.2010.5674766&partnerID=40&md5=022b8d05393ad7f8e0c4f379eee1e7fb,New approach for convergence of IT + pharmaceutical industry,Kim M.; Hwang J.G.,2010,Convergence; Pharmaceutical industry; RFID,,"2010 International Conference on Information and Communication Technology Convergence, ICTC 2010",,0,Conference paper,"RFID technology is regarded as an attractive solution for product supply chain management owing to product traceability offered by RFID technology. Based on the product traceability, important services such as product authenticity service, accurate stock assessment service, and real-time product-delivery status monitoring service are possible. In Korea, government starts to push pharmaceutical industry to adopt RFID technology for pharmaceutical industry supply chain management as a way to make domestic pharmaceutical industry competitive to global pharmaceutical market. As a part of this government effort, this paper suggests a software platform for ""overall pharmaceutical industry participants"" - ordinary users, manufacturers, logistics companies, wholesaler, retailer and government - to share supply chain management information among them based on RFID technology. This is definitely a new approach for applying RFID technology to industrial fields. © 2010 IEEE.",No,,prompt-CoT
9756,Scopus,/Information Trustworthiness Detection,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890842761&partnerID=40&md5=4d15934b4aa66b9ae8bea07592a80b15,Detection of malicious AIS position spoofing by exploiting radar information,Katsilieris F.; Braca P.; Coraluppi S.,2013,,,"Proceedings of the 16th International Conference on Information Fusion, FUSION 2013",,72,Conference paper,"The Automatic Identification System (AIS) is an automatic tracking system based on reports provided by the vessels carrying an AIS transponder. The reports contain information on the vessel position, velocity etc. and typically have high accuracy. Given that the AIS is a self-reporting system, the trustworthiness of positional information depends on data being reported by the vessel, rather than measured by a sensor. Any self-reporting system is prone to 'spoofing' or the intentional reporting on incorrect information. This paper addresses the inference problem of whether the received AIS data are trustworthy with the help of radar measurements and information from the tracking system. This problem can be treated in the hypothesis testing framework where the null hypothesis is that the AIS data are trustworthy and the alternative hypothesis is that the data are spoofed. The proposed solution, the generalized version of the sequential log-likelihood ratio test, is compared to the ideally optimal solution using real and simulated data. © 2013 ISIF ( Intl Society of Information Fusi.",No,,prompt-CoT
10600,Scopus,/Information Authenticity Assessment,10.1016/B978-0-12-374420-3.00063-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84882827335&doi=10.1016%2fB978-0-12-374420-3.00063-2&partnerID=40&md5=09b62b67b95cfbbd9e640cc4a3dde9a5,"Characterization of Three Portuguese Varietal Olive Oils Based on Fatty Acids, Triacylglycerols, Phytosterols and Vitamin E Profiles: Application of Chemometrics",Amaral J.S.; Mafra I.; Oliveira M.B.P.P.,2010,,,Olives and Olive Oil in Health and Disease Prevention,,13,Book chapter,"The authenticity and traceability of olive oils has been the object of numerous studies in the past few years. Generally, characterization of monovarietal olive oils requires the study of several compounds, including major components, such as fatty acids (FA) and triacylglycerols (TAG), and the minor ones, such as phytosterols, polyphenols, tocopherols, tocotrienols, and pigments. FA have been successfully used for grouping olive oils according to the olive variety used. Besides, their knowledge is also important to estimate nutritional properties of oils, as saturated FA are associated with a higher risk of cardiovascular diseases, contrarily to mono- and polyunsaturated FA. Several results have also proved the usefulness of TAG in grouping monovarietal olive oils, suggesting that the FA content and distribution on the glycerol moiety can contribute to the establishment of a cultivar chemical fingerprint. Minor compounds, such as phenolics and tocopherols, important for their antioxidant activity, are also able to provide useful information for authenticity assessment. The geographical characterization of olive oils is another important aspect of concern, especially for those certificated as PDO, since they are added-value products. Chemical characterization followed by multivariate statistical analysis has been reported in several studies to be a useful tool for the classification of olive oils regarding their geographical origin. Known as high-quality products, the olive oils from Trás-os-Montes region achieve very high market prices, which can propitiate unfair commercial practices. It is therefore important to use analytical techniques to ensure the assessment of identity and quality of these oils, and guarantee the proper product classification. © 2010 Copyright © 2010 Elsevier Inc. All rights reserved.",No,,prompt-CoT
4552,Scopus,/Claim Trustworthiness Evaluation,10.1007/978-3-030-82824-0_10,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115217773&doi=10.1007%2f978-3-030-82824-0_10&partnerID=40&md5=9950151dcd5845d201c69e5975b84457,Accountable Federated Machine Learning in Government: Engineering and Management Insights,Balta D.; Sellami M.; Kuhn P.; Schöpp U.; Buchinger M.; Baracaldo N.; Anwar A.; Ludwig H.; Sinn M.; Purcell M.; Altakrouri B.,2021,Accountability; Federated learning; Framework; Verifiable claims,,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),,9,Conference paper,"Machine learning offers promising capabilities to improve administrative procedures. At the same time, adequate training of models using traditional learning techniques requires the collection and storage of enough training data in a central place. Unfortunately, due to legislative and jurisdictional constraints, data in a central place is scarce and training a model becomes unfeasible. Against this backdrop, federated machine learning, a technique to collaboratively train models without transferring data to a centralized location, has been recently proposed. With each government entity keeping their data private, new applications that previously were impossible now can be a reality. In this paper, we demonstrate that accountability for the federated machine learning process becomes paramount to fully overcoming legislative and jurisdictional constraints. In particular, it ensures that all government entities' data are adequately included in the model and that evidence on fairness and reproducibility is curated towards trustworthiness. We also present an analysis framework suitable for governmental scenarios and illustrate its exemplary application for online citizen participation scenarios. We discuss our findings in terms of engineering and management implications: feasibility evaluation, general architecture, involved actors as well as verifiable claims for trustworthy machine learning. © 2021, IFIP International Federation for Information Processing.",No,,prompt-CoT
4166,Scopus,/Information Trustworthiness Measurement,10.1109/DSN53405.2022.00030,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136327673&doi=10.1109%2fDSN53405.2022.00030&partnerID=40&md5=8591d46c3d2dbbb6ff811ca16b1bcd68,"A Comprehensive, Longitudinal Study of Government DNS Deployment at Global Scale",Houser R.; Hao S.; Cotton C.; Wang H.,2022,DNS delegation; DNS deployment; E-Government; Government DNS,,"Proceedings - 52nd Annual IEEE/IFIP International Conference on Dependable Systems and Networks, DSN 2022",,9,Conference paper,"Within the Domain Name System (DNS), government domains form a particularly valuable part of the names-pace, representing trusted sources of information, vital services, and gateways for government personnel to engage in their duties. As the COVID-19 pandemic has unfolded, governments' digital resources have become increasingly important to provide support to populations largely in isolation. The accessibility of these resources relies largely on the trustworthiness of the domains that represent them. In this paper, we conduct an extensive measurement study focused on the availability and legitimacy of DNS records in the authoritative nameservers of government domains for over 190 countries. Our measurements reveal that thousands of domains do not use replicated authoritative name-servers, as well as a substantial increase in the trend of more domains relying on a single third-party DNS services provider. We also find more than 1,000 domains vulnerable to hijacking due to defective delegations. Our work shows that although robust overall, the deployments of authoritative nameservers in government domains still contain a non-trivial number of configurations that do not meet RFC requirements, leading to poor performance and reduced reliability that may leave domains vulnerable to hijacking.  © 2022 IEEE.",No,,prompt-CoT
7180,Scopus,/Information Authenticity Assessment,10.14704/nq.2018.16.5.1352,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048844050&doi=10.14704%2fnq.2018.16.5.1352&partnerID=40&md5=7c75e6fe43f2e5edcad36d95988db01a,Impact of E-commerce evaluation authenticity on consumer purchase decision based on electroencephalogram test technology,Qiu Y.,2018,Decision purchase rate; E-commerce evaluation; EEG test technology; Purchase decision,,NeuroQuantology,,2,Article,"Faced with e-commerce information in the era of information explosion, the consumers don’t have sufficient time and ability to screen the information, but the existing evaluation information can guide the consumers, therefore, the e-commerce evaluation is of great guiding significance for consumers' purchase decisions. Based on electroencephalogram (EEG) test technology, this paper simulates the consumers’ purchase decisions in the conditions with different authenticity. The experimental results show that the consumer's information evaluation can affect other consumer’s purchase decision, and the average response time and decision purchase rate of respondents to false evaluation are far less than to the real evaluation; the decision purchase rate in the condition of real evaluation is significantly higher than that under neutral evaluation and false evaluation. Besides, by the EEG analysis it is found that the three kinds of stimuli under P2 component have the significant main-effects, while no significant main-effect in the electrodes; under N2 component, the three stimuli and electrodes all have significant main-effects, and there exists a significant interaction-effect between stimuli type and the electrodes. © 2018, Anka Publishers. All rights reserved.",No,,prompt-CoT
