topic_id,label,label_full,n_docs,top_words
22,T022,Credibility Assessment,11,"blockchain, reputation, ethereum, location, decentralized, news, smart, contract, media, trust"
23,T023,"face, forgery",10,"face, forgery, deepfake, images, biometric, image, videos, arotldfdba, technique, original"
24,T024,Misinformation & Propaganda,10,"news, fake, entity, domains, crossdomain, knowledge, framework, detection, patterns, factbased"
25,T025,Misinformation & Propaganda,10,"news, propagation, fake, graph, early, detection, graphs, social, semantic, networks"
26,T026,Misinformation & Propaganda,9,"news, fake, dnfn, samples, performance, deep, features, feature, accuracy, model"
27,T027,Misinformation & Propaganda,9,"transformers, bert, news, fake, models, pam, classification, generalisation, articles, networks"
28,T028,Rumor on Social Media,9,"rumor, rumour, rumors, rumours, models, verification, classification, layered, dataset, vroc"
29,T029,"fact, checking",9,"fact, checking, multiclaim, statement, category, knowledge, kg, claims, kgs, triple"
30,T030,"audio, speech",8,"audio, speech, deepfake, spoofed, conversion, add, eer, mfaan, mono, voice"
31,T031,"llms, llm",8,"llms, llm, hallucinations, hallucination, language, untruthful, ccvp, educational, reasoning, context"
32,T032,"deepfake, videos",8,"deepfake, videos, video, facial, hpe, manipulation, face, detection, swap, deepfakes"
33,T033,Fact-Checking & Verification,7,"claim, leaked, retrieval, afc, evidence, stances, claimverif, claims, unreliable, factchecking"
34,T034,Fact-Checking & Verification,7,"rumor, rumors, microblog, tweets, rumour, losird, twitter, detection, media, veracity"
35,T035,"ensemble, transfer",7,"ensemble, transfer, voting, players, window, market, news, learning, age, machine"
36,T036,Misinformation & Propaganda,7,"spo, fake, news, deep, uses, propaganda, fnid, protext, base, natural"
37,T037,Crowdsourced Analysis,7,"annotation, proposal, bengali, news, level2, guideline, reliability, classification, annotated, spanish"
38,T038,Misinformation & Propaganda,7,"images, news, verification, image, montages, microblogs, text, fake, phase, landscape"
39,T039,"lexicomp, quality",7,"lexicomp, quality, adverse, websites, transgender, patients, 0001, health, tiktok, information"
40,T040,"image, forgery",7,"image, forgery, images, noise, forged, osns, detection, robust, proposed, copymove"
41,T041,Rumor on Social Media,6,"rumors, twitter, ols, tweets, disasters, osn, rumor, spread, root, controlling"
42,T042,Misinformation & Propaganda,6,"misinformation, persuasive, domain, knowledge, hmid, votes, health, data, models, seminext"
43,T043,"comments, english",6,"comments, english, tamil, german, llms, plms, news, style, llm, language"
44,T044,Credibility Assessment,6,"trustworthiness, source, web, evaluation, provider, credibility, probability, information, facts, attribute"
45,T045,"recurrent, layer",6,"recurrent, layer, lstm, title, shall, word, news, sentences, vector, bert"
46,T046,Misinformation & Propaganda,6,"news, feature, fake, features, media, tfidf, social, proposed, accuracy, society"
47,T047,"claims, systematic",6,"claims, systematic, rcts, health, parents, intervention, caffeine, year, tool, supplements"
48,T048,"deepfake, face",6,"deepfake, face, feature, forgery, features, attention, detection, regions, module, multiscale"
49,T049,Credibility Assessment,6,"islamic, information, credibility, factors, scale, dimension, media, subject, iq, publishers"
50,T050,"bdo, ilp",5,"bdo, ilp, rules, dolphins, conveyance, bottlenose, programming, research, proof, technologies"
51,T051,"piece, receiver",5,"data, piece, receiver, cybercrimes, sources, agent, various, source, distributed, sender"
52,T052,Misinformation & Propaganda,5,"social, media, misinformation, communities, mumin, claim, replies, datasets, contrastive, similarity"
53,T053,Misinformation & Propaganda,5,"indicators, taxonomy, interventions, misinformation, items, aibased, ai, peoples, mist, minutes"
54,T054,Misinformation & Propaganda,5,"news, model, 5l, learning, fake, media, sequential, lstm, able, linguistic"
55,T055,"groups, boosting",5,"groups, boosting, whatsapp, gradient, features, regression, social, liar, fwolar, result"
