topic_id,label,label_full,n_docs,top_words
24,T024,Journalism & Media Studies,11,"health, covid19, pandemic, communication, social, home, techniques, information, media, bert"
25,T025,"ensemble, manet",11,"ensemble, manet, messaging, voting, algorithms, mobile, legitimacy, machine, news, german"
26,T026,Misinformation & Propaganda,11,"misinformation, domain, media, social, posts, features, mulxqa, detection, communities, md"
27,T027,Fact-Checking & Verification,11,"rumor, rumors, rumour, tweets, twitter, early, users, social, veracity, true"
28,T028,"reviews, review",10,"reviews, review, deceptive, opinions, products, word, online, reviewers, applying, features"
29,T029,Crowdsourced Analysis,10,"deception, iq, deceptive, recognition, truthful, iqa, facial, veracitydeception, human, humans"
30,T030,Fact-Checking & Verification,10,"conversation, rumour, stance, multitask, rumor, stances, rumours, rumors, task, veracity"
31,T031,"claimevidence, debiasing",10,"claimevidence, debiasing, verification, claim, causal, fact, pipeline, data, labeled, unlabeled"
32,T032,"lab, task",10,"lab, task, english, asks, checkthat, evaluation, spanish, teams, arabic, tasks"
33,T033,"discovery, truth",10,"discovery, truth, values, sources, value, mutual, axioms, advisers, advisors, matrices"
34,T034,"sensing, discovery",10,"sensing, discovery, truth, observations, sources, claims, factfinding, dependency, scheme, solutions"
35,T035,Credibility Assessment,10,"web, bloggers, credibility, blog, information, content, query, entries, method, technology"
36,T036,Misinformation & Propaganda,9,"data, piece, receiver, fake, sources, fade, approaches, news, agent, does"
37,T037,Misinformation & Propaganda,9,"spanish, news, fake, proposal, datasets, deceptive, pattern, language, structure, methodological"
38,T038,"video, deepfake",9,"video, deepfake, seniors, image, manipulated, viewers, strategies, deepfakes, tools, study"
39,T039,"ofs, fact",8,"ofs, fact, knowledge, kgs, perturbation, checking, approach, facts, striking, scalable"
40,T040,Credibility Assessment,8,"abortion, posts, p001, safety, antichoice, sites, median, health, media, credibility"
41,T041,Fact-Checking & Verification,7,"pages, usefulness, 2019, runs, web, lab, factchecking, useful, claim, subtask"
42,T042,"events, journalists",7,"events, journalists, reuters, tracer, breaking, event, dissertation, eyewitness, social, content"
43,T043,"aigenerated, text",7,"aigenerated, text, aiguardian, material, content, authenticity, texts, models, written, language"
44,T044,Fact-Checking & Verification,7,"multimodal, evidence, retrieval, modalities, chartbert, images, mocheg, claim, factchecking, afc"
45,T045,"entity, knowledge",7,"entity, knowledge, domains, crossdomain, news, usernews, graphs, detection, engagement, update"
46,T046,Credibility Assessment,7,"tweets, spo, twitter, determining, manually, credibility, deep, use, learning, extract"
47,T047,"machinegenerated, humanwritten",7,"machinegenerated, humanwritten, comments, detectors, plms, llms, german, news, english, stylometry"
48,T048,Credibility Assessment,6,"wikipedia, coloring, articles, trust, expertise, wikipediaviz, readers, trustworthiness, domainspecific, wikitrust"
49,T049,Fact-Checking & Verification,6,"subquestions, political, claim, debate, debates, factchecking, task, lab, checkworthiness, year"
50,T050,"multimodal, consistency",6,"multimodal, consistency, visual, textual, semantic, textualvisual, mfeb, fnd, pretrained, features"
51,T051,"headlines, participants",6,"headlines, participants, pressure, effect, ratings, older, implied, articles, false, belief"
52,T052,"images, image",6,"images, image, forensics, montages, tampering, online, multimedia, forensic, textual, analysis"
53,T053,"medical, claims",6,"medical, claims, health, hclaime, healthrelated, headlines, dv, nouns, iv, extracting"
54,T054,Rumor on Social Media,6,"images, text, recognition, image, ocr, microblogs, verification, news, recognize, lbph"
55,T055,Misinformation & Propaganda,6,"nersa, fake, news, ml, detection, bagofwords, arabic, increased, dataset, deception"
56,T056,"trustworthiness, web",5,"trustworthiness, web, interface, search, grid, criteria, users, list, supportive, order"
57,T057,"5lcnn, phoney",5,"5lcnn, phoney, learning, deep, papers, news, way, rnn, online, machine"
58,T058,Misinformation & Propaganda,5,"techniques, learning, machine, fake, review, challenges, news, linguistic, meticulous, misleading"
59,T059,Misinformation & Propaganda,5,"machine, tweets, news, fake, matter, python, learning, hindi, numerous, component"
60,T060,"classic, covid19",5,"classic, covid19, accuracy, bilstm, learning, identities, classification, proposed, dataset, training"
61,T061,"articles, platform",5,"articles, platform, newsdeps, scilens, debates, quality, sources, communities, algorithmic, trustworthiness"
62,T062,"health, clinicians",5,"health, clinicians, medical, myths, criteria, medfact, chatgpts, chatgpt, ad, results"
63,T063,"glove, bilstm",5,"glove, bilstm, tsa, hcan, network, gru, models, attentionbased, neural, encoding"
64,T064,"layer, title",5,"layer, title, shall, vector, sentences, pam, word, proposition, figure, lstm"
65,T065,"adadebunk, preprocessing",5,"adadebunk, preprocessing, position, lstmrf, fned, multiaspect, secondary, tfidf, pivotal, dependencies"
